"Razyyn AI","رازين بالذكاء الاصطناعي"
"New Chat","محادثة جديدة"
"Connected:","متصل:"
"Click to view Agent Settings","انقر لعرض إعدادات الوكيل"
"Settings","الإعدادات"
"Type your financial question or query here...","اكتب سؤالك المالي أو استفسارك هنا..."
"Send Message","إرسال الرسالة"
"Connected successfully!","تم الاتصال بنجاح!"
"An error occurred during execution.","حدث خطأ أثناء التنفيذ."
"Failed","فشل"
"Cancelled","تم الإلغاء"
"Thinking...","جاري التفكير..."
"Thought for","فكر لمدة"
"Worked for","عمل لمدة"
"Completed","اكتمل"
"Connecting...","جاري الاتصال..."
"Creating Account...","جاري إنشاء الحساب..."
"Login","تسجيل الدخول"
"Sign Up","إنشاء حساب"
"Company Name","اسم الشركة"
"Email Address","البريد الإلكتروني"
"Password","كلمة المرور"
"Connect","اتصال"
"Create Account","إنشاء الحساب"
"Agent Settings","إعدادات الوكيل"
"Manage your Razyyn connection and account settings.","إدارة اتصال رازين وإعدادات الحساب."
"Log Out","تسجيل الخروج"
"Disconnect the agent temporarily.","قطع اتصال الوكيل مؤقتاً."
"Delete Account","حذف الحساب"
"Permanently delete your account.","حذف حسابك نهائياً."
"Logging out...","جاري تسجيل الخروج..."
"Logged out successfully!","تم تسجيل الخروج بنجاح!"
"Are you sure you want to permanently delete your agent account?","هل أنت متأكد أنك تريد حذف حساب الوكيل الخاص بك نهائياً؟"
"Deleting account...","جاري حذف الحساب..."
"Account deleted successfully!","تم حذف الحساب بنجاح!"
"Agent Settings record not found.","لم يتم العثور على سجل إعدادات الوكيل."
"Auto","تلقائي"
"General Q&A","الأسئلة والأجوبة العامة"
"Analyse Agent","وكيل التحليل"
"Audit Agent","وكيل التدقيق"
"Reconciliation Agent","وكيل المطابقة"
"Creator Agent","وكيل الإنشاء"
"I'll read your question and bring in the right specialist.","سأقرأ سؤالك وأحضر الأخصائي المناسب."
"Quick accounting questions and document look-ups.","أسئلة محاسبية سريعة وعمليات البحث عن المستندات."
"In-depth analysis. Max 5 files (10 MB total, Excel up to 20 MB).","تحليل عميق. الحد الأقصى 5 ملفات (إجمالي 10 ميجابايت، إكسل حتى 20 ميجابايت)."
"Compliance & Audit. Max 5 files (15 MB total, Excel up to 20 MB).","الامتثال والتدقيق. الحد الأقصى 5 ملفات (إجمالي 15 ميجابايت، إكسل حتى 20 ميجابايت)."
"Match two or more sources and explain every difference. Max 8 files (20 MB total, Excel up to 40 MB).","مطابقة مصدرين أو أكثر وتفسير كل فرق. الحد الأقصى 8 ملفات (إجمالي 20 ميجابايت، إكسل حتى 40 ميجابايت)."
"Prepare and record entries in your ERP. Every document is saved as a draft for your approval. Max 3 files (10 MB total, Excel up to 20 MB).","إعداد وتسجيل القيود في نظام تخطيط موارد المؤسسات الخاص بك. يتم حفظ كل مستند كمسودة للموافقة عليها. الحد الأقصى 3 ملفات (إجمالي 10 ميجابايت، إكسل حتى 20 ميجابايت)."
"Understanding question & reviewing context...","فهم السؤال ومراجعة السياق..."
"Retrieving data from ERPNext / Excel files...","استرداد البيانات من ملفات ERPNext / إكسل..."
"Profiling and cleaning raw data...","توصيف وتنظيف البيانات الخام..."
"Analyzing chunk data...","تحليل أجزاء البيانات..."
"Generating final business report & Mermaid charts...","توليد التقرير المالي النهائي ومخططات ميرميد..."
"Querying ERPNext SQL database...","الاستعلام من قاعدة بيانات ERPNext SQL..."
"Reading DocType schema...","قراءة هيكل نوع المستند..."
"Searching web for information...","البحث في الويب عن معلومات..."
"Performing calculations...","إجراء الحسابات..."
"Reading attached document...","قراءة المستند المرفق..."
"Reading sheets from Excel file...","قراءة الأوراق من ملف إكسل..."
"Querying Excel sheet data...","الاستعلام من بيانات ورقة إكسل..."
"Working on it...","جاري العمل على ذلك..."
"Checking agent connection...","جاري التحقق من اتصال الوكيل..."
"Processing...","جاري المعالجة..."
"Compare bank statements and ledger entries to find any discrepancies.","قارن كشوف الحسابات البنكية وقيود دفتر الأستاذ للعثور على أي فروقات."
"Reconcile bank entries","مطابقة القيود البنكية"
"Provide a complete summary of our cash flow status and highlight any liquidity risks.","تقديم ملخص كامل لحالة التدفق النقدي لدينا وتسليط الضوء على أي مخاطر سيولة."
"Analyze Cash Flow","تحليل التدفق النقدي"
"Run an audit check on all expenses from the past 30 days and flag any policy violations.","إجراء تدقيق على جميع المصروفات خلال الثلاثين يومًا الماضية وتحديد أي مخالفات للسياسات."
"Audit recent expenses","تدقيق المصروفات الأخيرة"
"Can you list all outstanding invoices that are overdue and calculate the total amount?","هل يمكنك إدراج جميع الفواتير المستحقة والمتأخرة وحساب المبلغ الإجمالي؟"
"Overdue Invoices","الفواتير المتأخرة"
"Toggle Theme","تبديل المظهر"
"Welcome to Razyyn","مرحباً بك في رازين"
"Select your agent mode (Ask, Analyse, or Audit) and upload financial documents or ask questions directly.","اختر وضع الوكيل (سؤال، تحليل، أو تدقيق) وقم تحميل المستندات المالية أو طرح الأسئلة مباشرة."

